full path, filename, sheet, processed result, checked result
./test objects/eecs1.generic_grade_sheet.xls, eecs1.generic_grade_sheet.xls, Grades, Junk
./test objects/eecs1.generic_grade_sheet.xls, eecs1.generic_grade_sheet.xls, Calc, Junk
./test objects/eecs1.generic_grade_sheet.xls, eecs1.generic_grade_sheet.xls, Lab Scores, Junk
./test objects/elizabeth_sager__9543__EAST SUMMARY TOP COUNTERPARTIES ALL REGIONS.xlsx, elizabeth_sager__9543__EAST SUMMARY TOP COUNTERPARTIES ALL REGIONS.xlsx, PEAK + OFF PEAK, Useful
./test objects/elizabeth_sager__9543__EAST SUMMARY TOP COUNTERPARTIES ALL REGIONS.xlsx, elizabeth_sager__9543__EAST SUMMARY TOP COUNTERPARTIES ALL REGIONS.xlsx, PEAK, Useful
./test objects/elizabeth_sager__9543__EAST SUMMARY TOP COUNTERPARTIES ALL REGIONS.xlsx, elizabeth_sager__9543__EAST SUMMARY TOP COUNTERPARTIES ALL REGIONS.xlsx, OFF-PEAK, Useful
./test objects/fastfacts03_feeder.xls, fastfacts03_feeder.xls, feeder, Useful
./test objects/fastfacts03_personnel.xls, fastfacts03_personnel.xls, personnel, Useful
./test objects/fin_accounts_WIAL.xls, fin_accounts_WIAL.xls, WIAL, Useful
./test objects/financial-notes_note 3-5.xls, financial-notes_note 3-5.xls, note 3-5, Useful
./test objects/fletcher_sturm__10953__1130optsheet.xlsx, fletcher_sturm__10953__1130optsheet.xlsx, sheet 1, Junk
./test objects/g12.xls, g12.xls, G12, Useful
./test objects/harry_arora__12164__ce vol-May.xlsx, harry_arora__12164__ce vol-May.xlsx, vol data, Useful
./test objects/harry_arora__12164__ce vol-May.xlsx, harry_arora__12164__ce vol-May.xlsx, Chart Data, Useful
./test objects/inc_exp_Income.xls, inc_exp_Income.xls, Income, Junk
./test objects/jane_tholt__13155__Staff No. 01.xlsx, jane_tholt__13155__Staff No. 01.xlsx, FERC FR Cap Rel 9-19-01 , Junk
./test objects/joe_parks__15054__BGM 0618 ngpl.xlsx, joe_parks__15054__BGM 0618 ngpl.xlsx, daily, Junk
./test objects/joe_parks__15054__BGM 0618 ngpl.xlsx, joe_parks__15054__BGM 0618 ngpl.xlsx, mtd, Junk
./test objects/john_griffith__16153__1_25_02GO.xlsx, john_griffith__16153__1_25_02GO.xlsx, Sheet1, Useful
./test objects/john_griffith__16153__1_25_02GO.xlsx, john_griffith__16153__1_25_02GO.xlsx, Sheet2, Empty
./test objects/john_griffith__16153__1_25_02GO.xlsx, john_griffith__16153__1_25_02GO.xlsx, Sheet3, Empty
./test objects/john_zufferli__16705__Sisson Casion Deal Calculation.xlsx, john_zufferli__16705__Sisson Casion Deal Calculation.xlsx, Calc. (july 26), Junk
./test objects/jonathan_mckay__17476__Quotes21.xlsx, jonathan_mckay__17476__Quotes21.xlsx, jonathan_mckay__17476__Quotes21, Junk
./test objects/kam_keiser__17838__West.xlsx, kam_keiser__17838__West.xlsx, Physical, Useful
./test objects/kam_keiser__17838__West.xlsx, kam_keiser__17838__West.xlsx, Gas Daily, Useful
./test objects/kam_keiser__17838__West.xlsx, kam_keiser__17838__West.xlsx, Basis&Index, Useful
./test objects/kate_symes__18887__Palo.xlsx, kate_symes__18887__Palo.xlsx, DJ Palo Verde Electricity Index, Useful
./test objects/lindy_donoho__21973__Valuationprojects.xlsx, lindy_donoho__21973__Valuationprojects.xlsx, Sheet1, Useful
./test objects/lindy_donoho__21973__Valuationprojects.xlsx, lindy_donoho__21973__Valuationprojects.xlsx, Sheet2, Empty
./test objects/lindy_donoho__21973__Valuationprojects.xlsx, lindy_donoho__21973__Valuationprojects.xlsx, Sheet3, Empty
./test objects/lspreport_02feb04.xls, lspreport_02feb04.xls, Summary, Useful
./test objects/lspreport_02feb04.xls, lspreport_02feb04.xls, Crime, Junk
./test objects/lspreport_02feb04.xls, lspreport_02feb04.xls, Comm Devt, Junk
